EFECTIVO,CXC,INVENTARIO,EQ_OFICINA,EQ_TRANSPORTE,TERRENOS_Y_CONSTRUCCIONES,CXP,CONTRIBUCIONES_X_PAGAR,ANTICIPOS_CTE,CAP_SOCIAL,UTILIDADES_ACUMULADAS,UTILIDAD_O_PERDIDA,TOTAL_VENTAS,TOTAL_COMPRAS,UTILIDAD_BRUTA,TOTAL_GASTOS,OBJETIVO
5269986.9180000005,28931194.63,398335.1701,15330613.03,3478673.115,-13932286.83,,610814.6399,10099371.73,1444426.243,,-4026343.953,,329233683.5,,8680734.851,Sospechoso
,,208891.9865,9368769.513,1334773.611,-8602278.381000001,8468829.379,253167.7528,4966997.762,528106.1374,6189959.378,-3242946.207,39979300.88,35887817.17,2835825.963,3404082.712,Sospechoso
2723236.353,12753417.92,3065788.471000001,3176916.341,1525805.642,-7178875.517999998,18699516.13,123971.8476,1811801.127,246754.1289,8397968.557,,,130640663.8,9032245.837,,Sospechoso
1165368.633,31989110.19,18110031.51,698807.9665,908658.346,,34319385.92,,2939802.498,3428242.075,16096851.22,-3609689.595,179771705.4,,29083006.58,24359612.55,Sospechoso
5849753.756,22270469.47,28672.717610000003,,1394373.5869999998,,10917743.3,473221.2765,5143626.653,1099425.207,10786866.32,-2626912.387,44879259.38,102045153.9,9172238.897,,Sospechoso
,4467347.614,719933.8728,,1080163.172,-6750832.857999999,7982458.986,170887.5473,9774539.415,1759189.261,6577083.668,-3594910.17,51870198.45,,,1155647.303,Sospechoso
838285.3694,,662002.0789,2659313.606,2897689.741000001,-8909487.291000001,8380298.906,174742.0791,2862760.036000001,,12498656.59,-4021449.352,106517974.4,129105674.5,5254199.054,5715174.408,Sospechoso
645195.7006,,1546073.441,217236.0685,27883.93705,-1933995.887,7865646.035,482243.1384,3292871.879,5766649.381,,,9431080.456,10125888.37,848271.4688,,Sospechoso
791165.1591,,3973186.324,472305.9418,,-3182283.057,10932897.23,139636.3266,1487889.486,367231.417,,-2535027.61,63260143.09,26792132.59,10266593.7,9521511.953,Sospechoso
1006725.231,8803743.451,5043595.697,1545346.065,439640.7072,-776185.1048,,503546.7472,5163724.7919999985,1968412.725,7362107.935,-3847061.733,59302381.58,37374016.71,,7768322.518999998,Sospechoso
,39922621.33,,479746.9679,690806.4279,-7123196.136,,2324723.639,6576944.324,7637760.697000002,20753685.52,,170786357.8,285493470.7,24805178.62,20839982.36,Sospechoso
427275.7011,9770112.754,3482689.338,1492980.184,1169495.601,59480.5799,25414486.76,360186.6659,,1453792.207,11632085.96,-5164134.812,84921597.76,60423359.15,6437168.001,5089348.02,Sospechoso
